,Time (ms),Voltage (mV),Voltage (mA),Force (Grams)
287,54604,0,1,1
288,54791,0,1,0
289,54971,0,1,0
290,55156,0,1,0
291,55342,0,1,0
292,55524,0,1,0
293,55708,0,1,0
294,55893,0,1,0
295,56076,0,1,0
296,56266,0,1,0
297,56448,0,1,0
298,56629,0,1,0
299,56852,0,1,0
300,57040,0,1,0
301,57227,0,1,0
302,57417,0,1,0
303,57662,0,1,0
304,57852,0,1,0
305,58055,0,1,0
306,58261,0,1,0
307,58448,0,1,0
308,58632,0,1,0
309,58823,0,1,0
310,59015,0,1,0
311,59203,0,1,0
312,59390,0,1,0
313,59579,0,1,0
314,59767,0,1,0
315,59956,0,1,0
316,60140,0,1,-1
317,60346,0,1,-1
318,60531,0,1,-1
319,60717,0,1,-1
320,60909,0,1,-1
321,61097,0,1,-1
322,61286,0,1,-1
323,61511,0,1,0
324,61698,0,1,0
325,61885,0,1,0
326,62070,0,1,0
327,62261,0,1,0
328,62466,0,1,0
329,62648,0,1,0
330,62952,0,1,0
331,63163,0,1,0
332,63351,0,1,0
333,63533,0,1,0
334,63722,0,1,0
335,63907,0,1,0
336,64094,0,1,0
337,64288,0,1,0
338,64487,0,1,0
339,64682,0,1,0
340,64873,0,1,0
341,65069,0,1,0
342,65255,0,1,0
343,65440,0,1,0
344,65627,0,1,0
345,65812,0,1,0
346,66030,0,1,0
347,66217,0,1,0
348,66405,0,1,0
349,66598,0,1,0
350,66786,0,1,0
351,66976,0,1,0
352,67162,0,1,0
353,67385,0,1,0
354,67581,0,1,0
355,67802,0,1,0
356,67994,0,1,0
357,68221,0,1,0
358,68442,0,1,0
359,68638,0,1,0
360,68850,0,1,0
361,69041,0,1,0
362,69264,0,1,0
363,69468,0,1,0
364,69657,0,1,0
365,69861,0,1,0
366,70072,0,1,0
367,70288,0,1,0
368,70473,0,1,0
369,70653,0,1,0
370,71025,0,1,0
371,71215,0,1,0
372,71417,0,1,0
373,71617,0,1,0
374,71825,0,1,0
375,72030,0,1,0
376,72249,0,1,0
377,72435,0,1,0
378,72624,0,1,0
379,72821,0,1,0
380,73019,0,1,0
381,73210,0,1,0
382,73400,0,1,0
383,73588,3,1,0
384,73775,57,1,0
385,73968,57,1,0
386,74158,57,1,0
387,74347,57,1,0
388,74536,57,1,0
389,74727,57,1,0
390,74920,57,1,0
391,75117,57,1,0
392,75308,56,1,0
393,75536,57,1,0
394,75728,57,1,0
395,75918,57,1,0
396,76108,57,1,0
397,76299,57,1,0
398,76506,56,1,0
