,Time (ms),Voltage (mV),Voltage (mA),Force (Grams)
0,164,0,0,0
1,357,0,0,0
2,920,0,0,0
3,1190,0,0,0
4,1395,0,0,0
5,1603,0,0,0
6,1818,0,0,0
7,2040,0,0,0
8,2241,0,0,0
9,2399,0,0,0
10,2558,0,0,0
11,2716,0,0,0
12,2874,0,0,0
13,3041,0,0,0
14,3202,0,0,0
15,3362,0,0,0
16,3534,0,0,0
17,3702,0,0,0
18,3893,0,0,0
19,4093,0,0,0
20,4263,0,0,0
21,4436,0,0,0
22,4622,0,0,0
23,4779,0,0,0
24,4940,0,0,0
25,5100,0,0,0
26,5259,0,0,0
27,5421,0,0,0
28,5582,28,0,0
29,5743,41,0,0
30,5907,41,0,0
31,6095,41,0,0
32,6268,708,-139,0
33,6432,990,-193,0
34,6606,990,-192,0
35,6784,990,-192,0
36,6962,990,-191,0
37,7140,990,-191,0
38,7316,990,-191,0
39,7490,990,-191,0
40,7668,990,-191,0
41,7848,990,-193,0
42,8027,990,-192,0
43,8241,990,-191,0
44,8470,990,-191,0
45,8640,990,-192,0
46,8809,990,-192,0
47,8976,991,-192,0
48,9142,990,-194,0
49,9310,990,-190,0
50,9478,990,-190,0
51,9645,990,-190,0
52,9813,990,-190,0
53,9985,990,-190,0
54,10155,991,-190,0
55,10362,990,-190,0
56,10537,990,-190,0
57,10705,990,-191,0
58,10877,991,-192,0
59,11047,990,-190,0
60,11224,991,-190,0
61,11396,990,-190,0
62,11566,990,-190,0
63,11740,990,-190,0
64,11914,990,-190,0
65,12089,990,-190,0
66,12262,991,-190,0
67,12473,990,-190,0
68,12646,990,-190,0
69,12851,991,-191,0
70,13022,990,-191,0
71,13195,990,-190,0
72,13367,990,-192,0
73,13547,990,-192,0
74,13723,991,-191,0
75,13899,991,-192,0
76,14079,990,-192,0
77,14255,991,-192,0
78,14436,991,-193,0
79,14638,990,-192,0
80,14820,990,-193,0
81,14995,990,-191,0
82,15176,990,-194,0
83,15352,991,-193,0
84,15534,990,-194,0
85,15713,990,-193,0
86,15894,991,-191,0
87,16074,990,-192,0
88,16257,990,-190,0
89,16439,991,-190,0
90,16654,990,-189,0
91,16832,990,-190,0
92,17012,990,-190,0
93,17214,990,-190,0
94,17391,991,-190,0
95,17567,990,-190,0
96,17742,991,-190,0
97,17926,990,-190,0
98,18103,990,-190,0
99,18281,990,-191,0
100,18459,991,-191,0
101,18644,991,-191,0
102,18853,990,-191,0
103,19037,990,-191,0
104,19215,991,-193,0
105,19397,990,-193,0
106,19578,990,-193,0
107,19759,990,-193,0
108,19957,990,-191,0
109,20310,991,-192,0
110,20497,990,-192,0
111,20678,991,-191,0
112,20892,991,-191,0
113,21066,990,-194,0
114,21239,990,-193,0
115,21418,990,-192,0
116,21599,990,-191,0
117,21793,990,-191,0
118,21965,990,-193,0
119,22135,990,-193,0
120,22312,990,-192,0
121,22498,990,-192,0
122,22666,991,-203,0
123,22835,990,-210,0
124,23039,990,-209,0
125,23208,990,-207,0
126,23385,991,-208,0
127,23555,990,-208,0
128,23726,990,-207,0
129,23892,990,-207,0
130,24066,991,-207,0
131,24241,991,-207,0
132,24413,991,-207,0
133,24593,990,-207,0
134,24765,990,-207,0
135,24939,990,-207,0
136,25146,990,-207,0
137,25317,990,-206,0
138,25490,990,-208,0
139,25662,990,-209,0
140,25837,991,-209,0
141,26010,990,-210,0
142,26187,991,-210,0
143,26359,991,-211,0
144,26531,991,-210,0
145,26703,991,-210,0
146,26892,990,-211,0
147,27079,990,-210,0
148,27285,990,-210,0
149,27459,990,-211,0
150,27629,990,-210,0
151,27804,990,-210,0
152,27976,990,-212,0
153,28147,990,-211,0
