,Time (ms),Voltage (mV),Voltage (mA),Force (Grams)
0,138,0,0,0
1,348,0,0,0
2,523,0,0,0
3,719,0,0,0
4,1108,0,0,0
5,1306,0,0,0
6,1491,0,0,0
7,1689,0,0,0
8,1878,0,0,0
9,2074,0,0,0
10,2272,0,0,0
11,2467,0,0,0
12,2645,0,0,0
13,2835,0,0,0
14,3077,0,0,0
15,3278,0,0,0
16,3459,0,0,0
17,3636,0,0,1
18,3807,0,0,1
19,3979,0,0,1
20,4174,0,0,1
21,4357,0,0,1
22,4520,0,0,1
23,4691,0,0,1
24,4865,0,0,1
25,5037,0,0,1
26,5225,0,0,1
27,5392,0,0,1
28,5560,0,0,1
29,5744,0,0,1
30,5916,0,0,1
31,6083,0,0,1
32,6254,0,0,1
33,6422,0,0,1
34,6590,0,0,1
35,6762,0,0,1
36,6951,0,0,1
37,7127,0,0,1
38,7315,0,0,1
39,7494,0,0,1
40,7676,0,0,1
41,7854,0,0,1
42,8029,0,0,1
43,8205,0,0,1
44,8381,0,0,1
45,8570,0,0,1
46,8732,0,0,1
47,8899,0,0,1
48,9070,0,0,1
49,9239,0,0,1
50,9415,0,0,1
51,9577,0,0,1
52,9750,0,0,1
53,9916,0,0,1
54,10082,0,0,1
55,10248,0,0,1
56,10415,0,0,1
57,10583,0,0,1
58,10757,0,0,1
59,10935,0,0,1
60,11114,0,0,1
61,11291,0,0,1
62,11482,0,0,1
63,11660,0,0,1
64,11829,0,0,1
65,12001,0,0,1
66,12176,0,0,1
67,12346,0,0,1
68,12525,0,0,1
69,12695,0,0,1
70,12886,0,0,1
71,13058,0,0,1
72,13234,0,0,1
73,13405,0,0,1
74,13602,0,0,1
75,13778,0,0,1
76,13951,0,0,1
77,14125,0,0,1
78,14301,0,0,1
79,14474,0,0,1
80,14645,0,0,1
81,14818,0,0,1
82,14991,0,0,1
83,15179,0,0,1
84,15362,0,0,1
85,15556,0,0,1
86,15749,0,0,1
87,15924,0,0,1
88,16111,0,0,1
89,16292,0,0,1
90,16467,0,0,1
91,16644,0,0,1
92,16818,0,0,1
93,16999,0,0,1
94,17176,0,0,1
95,17390,0,0,1
96,17566,0,0,1
97,17771,0,0,1
98,17942,0,0,1
99,18114,0,0,1
100,18289,0,0,1
101,18461,0,0,1
102,18631,0,0,1
103,18804,0,0,1
104,18977,0,0,1
105,19154,0,0,1
106,19331,0,0,1
107,19513,0,0,1
108,19701,0,0,1
109,19897,0,0,1
110,20103,0,0,1
111,20329,0,0,1
112,20521,0,0,1
