,Time (ms),Voltage (mV),Voltage (mA),Force (Grams)
0,136,0,1,0
1,369,0,1,0
2,594,0,1,0
3,870,0,1,0
4,1068,0,1,0
5,1229,0,1,0
6,1438,0,1,0
7,1665,0,1,0
8,1848,0,1,0
9,2071,0,1,0
10,2309,0,1,0
11,2496,0,1,0
12,2679,0,1,0
13,2849,0,1,0
14,3037,0,1,0
15,3216,0,1,0
16,3391,7,1,0
17,3598,42,1,0
18,3783,41,1,0
19,3969,41,1,0
20,4151,68,-8,0
21,4351,116,1,0
22,4531,116,1,0
23,4710,116,1,0
24,4888,116,1,0
25,5084,116,1,0
26,5316,116,1,0
27,5497,116,1,0
28,5693,116,1,0
29,5875,116,1,0
30,6090,116,1,0
31,6279,116,1,0
32,6465,116,1,0
33,6652,116,1,0
34,6839,116,1,0
35,7028,116,1,0
36,7226,116,1,0
37,7413,116,1,0
38,7598,116,1,0
39,7800,116,1,0
40,7992,116,1,0
41,8180,116,1,0
42,8369,112,1,0
43,8546,110,1,0
44,8721,108,1,0
45,8899,106,1,0
46,9076,88,1,0
47,9260,88,1,0
48,9463,88,1,0
49,9639,88,1,0
50,9836,88,1,0
51,10021,88,1,0
52,10204,88,1,0
53,10391,88,1,0
54,10582,88,1,0
55,10904,88,1,0
56,11086,55,1,0
57,11263,50,1,0
58,11444,48,1,0
59,11632,48,1,0
60,11819,50,1,0
61,12013,50,1,0
62,12193,50,1,0
63,12372,50,1,0
64,12560,48,1,0
65,12747,5,1,0
66,12936,0,1,0
67,13133,0,1,0
68,13326,0,1,0
69,13505,0,1,0
70,13692,0,1,0
71,13915,0,1,0
72,14107,5,1,0
73,14291,7,1,0
74,14480,10,1,0
75,14661,15,1,0
76,14851,13,1,0
77,15039,13,1,0
78,15224,13,1,0
79,15413,13,1,0
80,15606,13,1,0
81,15800,13,1,0
82,15998,13,1,0
83,16204,13,1,0
84,16392,13,1,0
85,16584,13,1,0
86,16767,13,1,0
87,16962,13,1,0
88,17157,13,1,0
89,17649,13,1,0
90,17864,13,1,0
91,18068,13,1,0
92,18279,13,1,0
93,18470,13,1,0
94,18707,13,1,0
95,18903,13,1,0
96,19093,13,1,0
97,19288,13,1,0
98,19487,13,1,0
99,19725,13,1,0
100,19932,13,1,0
101,20128,13,1,0
102,20334,13,1,0
103,20530,13,1,0
104,20722,13,1,0
105,20906,13,1,0
106,21091,10,1,0
107,21262,2,1,0
108,21443,23,1,0
109,21623,85,1,0
110,21799,92,1,0
111,21987,90,1,0
112,22176,88,1,0
113,22364,88,1,0
114,22551,88,1,0
115,22732,88,1,0
116,22903,82,1,0
117,23107,11,1,0
118,23290,0,1,0
119,23469,0,1,0
120,23653,0,1,0
121,23828,0,1,0
122,24009,0,1,0
123,24196,0,1,0
124,24382,0,97,0
125,24579,0,1,0
126,24763,0,771,0
127,24955,0,611,0
128,25143,0,129,0
129,25330,0,16,0
130,25527,0,4,0
131,25795,0,1,0
132,25994,0,1,0
133,26196,0,1,0
134,26387,0,1,0
135,26591,0,1,0
136,26783,0,1,0
137,26979,0,1,0
138,27306,0,1,0
139,27499,0,1,0
140,27728,0,1,0
141,27933,0,1,0
142,28122,0,1,0
143,28331,0,1,0
144,28550,0,1,0
145,28774,0,1,0
