,Time (ms),Voltage (mV),Voltage (mA),Force (Grams)
267,47072,1040,-643,0
268,47238,1040,-643,0
269,47404,1040,-643,0
270,47587,1040,-643,0
271,47768,1040,-644,0
272,47938,1040,-644,0
273,48130,1040,-644,0
274,48340,1040,-644,0
275,48524,1040,-644,0
276,48693,1040,-644,0
277,48865,1040,-644,0
278,49031,1040,-644,0
279,49202,1040,-644,0
280,49369,1040,-644,0
281,49535,1040,-645,0
282,49702,1040,-645,0
283,49871,1040,-645,0
284,50038,1040,-645,0
285,50219,1040,-645,0
286,50490,1041,-645,0
287,50732,1040,-645,0
288,50954,1040,-645,0
289,51182,1040,-645,0
290,51386,1040,-645,0
291,51580,1040,-645,0
292,51781,1040,-645,0
293,51973,1040,-645,0
