,Time (ms),Voltage (mV),Voltage (mA),Force (mGrams)
280,56368,0,1,30
281,56560,0,1,28
282,56737,0,1,28
283,56912,0,1,31
284,57086,0,1,32
285,57262,0,1,34
286,57486,0,1,39
287,57676,0,1,46
288,57872,0,1,50
289,58063,0,1,62
290,58244,0,1,89
291,58422,0,1,107
292,58601,0,1,109
293,59026,0,1,106
294,59212,0,1,106
295,59392,0,1,114
296,59581,0,1,135
297,59785,0,1,146
298,59972,0,1,146
299,60161,0,1,146
300,60347,0,1,145
301,60532,0,1,143
302,60720,0,1,144
303,60904,0,1,143
304,61093,0,1,143
305,61277,0,1,142
306,61463,0,1,142
307,61648,0,1,142
308,61847,0,1,142
309,62078,0,1,143
310,62272,0,1,154
311,62460,0,1,168
312,62649,0,1,172
313,62841,0,1,172
314,63034,0,1,177
315,63231,0,1,191
316,63407,0,1,200
317,63585,0,1,196
318,63759,0,1,171
319,63938,0,1,86
320,64114,0,1,21
321,64295,0,1,18
322,64470,0,1,19
323,64645,0,1,26
324,64817,0,1,36
325,65000,0,1,53
326,65177,0,1,53
327,65349,0,1,22
328,65522,0,1,-5
329,65695,0,1,-5
330,65868,0,1,-6
331,66056,0,1,-5
332,66233,0,1,-4
333,66453,0,1,-5
334,66622,0,1,-5
335,66802,0,1,-4
336,66976,0,1,-4
337,67152,0,1,-5
338,67333,0,1,-5
339,67511,0,1,-4
340,67689,0,1,-4
341,67871,0,1,-3
342,68050,0,1,-3
343,68240,0,1,-4
344,68422,0,1,-4
345,68596,0,1,-3
346,68773,0,1,-3
347,68955,0,1,-3
348,69138,0,1,-3
349,69311,0,1,-3
350,69491,0,1,-2
351,69667,0,1,-2
352,69851,0,1,-2
353,70028,0,1,-1
354,70224,0,1,-1
355,70401,0,1,0
356,70612,0,1,0
357,70790,0,1,0
358,70973,0,1,-1
359,71150,0,1,0
360,71332,0,1,1
361,71509,0,1,1
362,71689,0,1,1
363,71867,0,1,1
364,72040,0,1,0
365,72220,0,1,1
366,72404,0,1,0
367,72602,0,1,1
368,72811,0,1,1
369,73021,0,1,1
370,73221,0,1,1
