,filename,reduced_filename,pixel_mean,pixel_min,pixel_max
47,H12_R3D_STC_w597.tif,gelatin_plate_1_stitched/H12_R3D_STC_w597_reduced.jpg,1388.5647919649819,0,24427
48,G1_R3D_STC_w435.tif,gelatin_plate_1_stitched/G1_R3D_STC_w435_reduced.jpg,120.60812103855598,0,22684
49,G1_R3D_STC_w-50.tif,gelatin_plate_1_stitched/G1_R3D_STC_w-50_reduced.jpg,5322.93195938107,0,30171
50,G1_R3D_STC_w525.tif,gelatin_plate_1_stitched/G1_R3D_STC_w525_reduced.jpg,138.05974853581785,0,689
51,G1_R3D_STC_w597.tif,gelatin_plate_1_stitched/G1_R3D_STC_w597_reduced.jpg,1440.7764128197366,0,37840
52,G2_R3D_STC_w435.tif,gelatin_plate_1_stitched/G2_R3D_STC_w435_reduced.jpg,712.7043395649611,0,23762
53,G2_R3D_STC_w-50.tif,gelatin_plate_1_stitched/G2_R3D_STC_w-50_reduced.jpg,7477.602275058669,0,29040
54,G2_R3D_STC_w525.tif,gelatin_plate_1_stitched/G2_R3D_STC_w525_reduced.jpg,169.1198911534638,0,8807
55,G2_R3D_STC_w597.tif,gelatin_plate_1_stitched/G2_R3D_STC_w597_reduced.jpg,1137.0564884537375,0,9391
56,G3_R3D_STC_w435.tif,gelatin_plate_1_stitched/G3_R3D_STC_w435_reduced.jpg,151.1829180080631,0,21138
57,G3_R3D_STC_w-50.tif,gelatin_plate_1_stitched/G3_R3D_STC_w-50_reduced.jpg,12278.459437757067,0,37161
58,G3_R3D_STC_w525.tif,gelatin_plate_1_stitched/G3_R3D_STC_w525_reduced.jpg,110.56414474324824,0,3909
59,G3_R3D_STC_w597.tif,gelatin_plate_1_stitched/G3_R3D_STC_w597_reduced.jpg,1249.4303833405922,0,19865
60,G4_R3D_STC_w435.tif,gelatin_plate_1_stitched/G4_R3D_STC_w435_reduced.jpg,123.90244110624917,0,16945
61,G4_R3D_STC_w-50.tif,gelatin_plate_1_stitched/G4_R3D_STC_w-50_reduced.jpg,13716.985647987887,0,41654
62,G4_R3D_STC_w525.tif,gelatin_plate_1_stitched/G4_R3D_STC_w525_reduced.jpg,110.50899892134743,0,13953
63,G4_R3D_STC_w597.tif,gelatin_plate_1_stitched/G4_R3D_STC_w597_reduced.jpg,1153.8739481627806,0,6439
64,G5_R3D_STC_w435.tif,gelatin_plate_1_stitched/G5_R3D_STC_w435_reduced.jpg,178.4019507231652,0,28103
65,G5_R3D_STC_w-50.tif,gelatin_plate_1_stitched/G5_R3D_STC_w-50_reduced.jpg,8287.235969870191,0,31355
66,G5_R3D_STC_w525.tif,gelatin_plate_1_stitched/G5_R3D_STC_w525_reduced.jpg,118.52052270491946,0,3425
