#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415B99FD9
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Resistor: 100 Ω
#Average: 1
#ProbeResistance: 1.008e+06 Ω
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.24066 V
#Offset: 0.000240203 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.25098 V
#Offset: 0.000230232 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
1000.000000000001,-63.20210509745957,17.1430783102858
1047.128548050901,-62.57119408072798,16.48288043985731
1096.478196143186,-61.95031342275541,15.87425496760772
1148.153621496884,-61.33307835418243,15.34274035699545
1202.264434617413,-60.70128820407883,14.90051131018701
1258.925411794169,-60.09152748337057,14.41419532173474
1318.256738556409,-59.43123412200771,13.92126069970866
1380.384264602885,-58.76145798075468,13.47770082596008
1445.43977074593,-58.04969546076678,13.08686853355374
1513.56124843621,-57.35779662755853,12.71930831071469
1584.893192461114,-56.65389653892468,12.3062506639206
1659.586907437563,-55.8913432153107,11.91651021133916
1737.800828749376,-55.1148862388557,11.57605690336865
1819.700858609984,-54.34702309403809,11.25228653360523
1905.46071796325,-53.5073576416772,10.92798301583454
1995.262314968881,-52.6797099216469,10.61058243695884
2089.296130854041,-51.81869665560797,10.30023047645944
2187.761623949554,-50.95865955680748,10.02017079850496
2290.867652767774,-50.0635456339486,9.770444403252409
2398.832919019493,-49.1860677204921,9.521979207833784
2511.886431509582,-48.24911924360926,9.262686177201198
2630.267991895385,-47.31028932978969,9.003911472961326
2754.228703338169,-46.31206810459916,8.778218368406286
2884.031503126609,-45.38872788324333,8.573542276351647
3019.951720402019,-44.45046892614459,8.381483700445703
3162.277660168382,-43.43837536966608,8.202755379967643
3311.311214825914,-42.42991218817541,8.006345402155663
3467.368504525317,-41.3882316775442,7.817202660810462
3630.780547701017,-40.41141558458166,7.655322316729726
3801.893963205617,-39.3341507485464,7.508724681531691
