,Time,Force (Newtons),Distance (millimeters)
0,1,-4.743672738000296e-05,9.765625e-05
1,8,-4.743672738000296e-05,9.765625e-05
2,14,-4.743672738000296e-05,9.765625e-05
3,20,-4.743672738000296e-05,9.765625e-05
4,25,-4.743672738000296e-05,9.765625e-05
5,30,-4.743672738000296e-05,9.765625e-05
6,35,-4.743672738000296e-05,9.765625e-05
7,40,-4.743672738000296e-05,0.0001953125
8,46,-4.743672738000296e-05,0.0001953125
9,51,-4.743672738000296e-05,0.0001953125
10,56,-4.743672738000296e-05,0.0001953125
11,61,-4.743672738000296e-05,0.0001953125
12,67,-4.743672738000296e-05,0.00029296875
13,73,-4.743672738000296e-05,0.00029296875
14,79,-4.743672738000296e-05,0.00029296875
15,84,-4.743672738000296e-05,0.000390625
16,88,-2.390076738000297e-05,0.000390625
17,94,-2.390076738000297e-05,0.000390625
18,99,-2.390076738000297e-05,0.000390625
19,104,-2.390076738000297e-05,0.00048828125
20,109,-2.390076738000297e-05,0.00048828125
21,113,-2.390076738000297e-05,0.00048828125
22,119,-2.390076738000297e-05,0.0005859375
23,124,-2.390076738000297e-05,0.0005859375
24,128,-2.390076738000297e-05,0.0005859375
25,134,-2.390076738000297e-05,0.0006835937500000001
26,141,-2.390076738000297e-05,0.0006835937500000001
27,148,-2.390076738000297e-05,0.00078125
28,156,-2.390076738000297e-05,0.00078125
29,162,-2.390076738000297e-05,0.0008789062499999999
30,170,-2.390076738000297e-05,0.0008789062499999999
31,175,-2.390076738000297e-05,0.0009765625
32,179,-2.390076738000297e-05,0.0009765625
33,184,-7.097268738000297e-05,0.00107421875
34,188,-7.097268738000297e-05,0.00107421875
35,192,-7.097268738000297e-05,0.001171875
36,197,-7.097268738000297e-05,0.001171875
37,202,-7.097268738000297e-05,0.00126953125
38,207,-7.097268738000297e-05,0.00126953125
39,213,-7.097268738000297e-05,0.0013671875000000001
40,217,-7.097268738000297e-05,0.0013671875000000001
41,221,-7.097268738000297e-05,0.00146484375
42,226,-7.097268738000297e-05,0.00146484375
43,230,-7.097268738000297e-05,0.0015625
44,235,-7.097268738000297e-05,0.0015625
45,239,-7.097268738000297e-05,0.0016601562500000002
46,245,-7.097268738000297e-05,0.0016601562500000002
47,249,-7.097268738000297e-05,0.0017578124999999998
48,255,-7.097268738000297e-05,0.00185546875
49,260,-7.097268738000297e-05,0.00185546875
50,265,-7.097268738000297e-05,0.001953125
51,269,-7.097268738000297e-05,0.00205078125
52,274,-7.097268738000297e-05,0.00205078125
53,279,-8.077933738000294e-05,0.0021484375
54,285,-8.077933738000294e-05,0.0022460937500000003
55,289,-8.077933738000294e-05,0.0022460937500000003
56,294,-8.077933738000294e-05,0.00234375
57,300,-8.077933738000294e-05,0.00244140625
58,306,-8.077933738000294e-05,0.00244140625
59,313,-8.077933738000294e-05,0.00263671875
60,321,-8.077933738000294e-05,0.0027343750000000003
61,331,-8.077933738000294e-05,0.00283203125
62,338,-8.077933738000294e-05,0.00302734375
63,344,-8.077933738000294e-05,0.003125
64,349,-8.077933738000294e-05,0.003125
65,353,-8.077933738000294e-05,0.0032226562500000003
66,357,-8.077933738000294e-05,0.0033203125000000003
67,363,-8.077933738000294e-05,0.00341796875
68,367,-8.077933738000294e-05,0.0035156249999999997
69,372,-8.077933738000294e-05,0.00361328125
70,377,-5.234005238000297e-05,0.00361328125
71,383,-5.234005238000297e-05,0.0037109375
72,387,-5.234005238000297e-05,0.0038085937500000003
73,392,-5.234005238000297e-05,0.00390625
74,398,-5.234005238000297e-05,0.00400390625
75,402,-5.234005238000297e-05,0.0041015625
76,406,-5.234005238000297e-05,0.00419921875
77,411,-5.234005238000297e-05,0.004296875
78,417,-5.234005238000297e-05,0.00439453125
79,421,-5.234005238000297e-05,0.0044921875000000005
80,425,-5.234005238000297e-05,0.004589843749999999
81,431,-5.234005238000297e-05,0.0046875
82,435,-5.234005238000297e-05,0.00478515625
83,441,-5.234005238000297e-05,0.0048828125
84,446,-5.234005238000297e-05,0.00498046875
85,451,-5.234005238000297e-05,0.005078125
86,455,-5.234005238000297e-05,0.005175781250000001
87,460,-5.234005238000297e-05,0.0052734375
88,466,-5.234005238000297e-05,0.00537109375
89,471,-5.724337738000296e-05,0.0054687500000000005
90,476,-5.724337738000296e-05,0.005566406249999999
91,481,-5.724337738000296e-05,0.0056640625
92,486,-5.724337738000296e-05,0.005859375
93,491,-5.724337738000296e-05,0.00595703125
94,496,-5.724337738000296e-05,0.0060546875
95,501,-5.724337738000296e-05,0.00615234375
96,513,-5.724337738000296e-05,0.0064453125000000005
97,520,-5.724337738000296e-05,0.006640625000000001
98,528,-5.724337738000296e-05,0.0067382812499999995
99,533,-5.724337738000296e-05,0.00693359375
100,540,-5.724337738000296e-05,0.00712890625
101,546,-5.724337738000296e-05,0.0072265625
102,551,-5.724337738000296e-05,0.00732421875
103,555,-5.724337738000296e-05,0.007421875
104,561,-5.724337738000296e-05,0.007617187500000001
105,566,-4.351406738000296e-05,0.00771484375
106,570,-4.351406738000296e-05,0.0078125
107,576,-4.351406738000296e-05,0.0080078125
108,581,-4.351406738000296e-05,0.008105468749999999
109,585,-4.351406738000296e-05,0.008203125
110,591,-4.351406738000296e-05,0.0083984375
111,595,-4.351406738000296e-05,0.00849609375
112,601,-4.351406738000296e-05,0.00869140625
113,605,-4.351406738000296e-05,0.0087890625
114,610,-4.351406738000296e-05,0.00888671875
115,616,-4.351406738000296e-05,0.00908203125
116,620,-4.351406738000296e-05,0.009179687499999999
117,625,-4.351406738000296e-05,0.009375
