,Time,Force (Newtons),Distance (millimeters)
0,1,0.00011778963447999382,9.765625e-05
1,8,0.00011778963447999382,9.765625e-05
2,12,0.00011778963447999382,9.765625e-05
3,18,0.00011778963447999382,9.765625e-05
4,23,0.00014132559447999383,9.765625e-05
5,27,0.00014132559447999383,9.765625e-05
6,31,0.00014132559447999383,9.765625e-05
7,37,0.00014132559447999383,9.765625e-05
8,41,0.00014132559447999383,9.765625e-05
9,48,0.00014132559447999383,0.0001953125
10,53,0.00014132559447999383,0.0001953125
11,57,0.00014132559447999383,0.0001953125
12,64,0.00014132559447999383,0.0001953125
13,69,0.00014132559447999383,0.0001953125
14,74,0.00014132559447999383,0.00029296875
15,78,0.00014132559447999383,0.00029296875
16,83,0.00014132559447999383,0.00029296875
17,87,0.00014132559447999383,0.00029296875
18,92,0.00014132559447999383,0.000390625
19,98,0.00014132559447999383,0.000390625
20,102,0.00014132559447999383,0.000390625
21,108,0.00014132559447999383,0.000390625
22,112,0.00014132559447999383,0.00048828125
23,117,0.00019722349947999383,0.00048828125
24,122,0.00019722349947999383,0.00048828125
25,127,0.00019722349947999383,0.0005859375
26,132,0.00019722349947999383,0.0005859375
27,138,0.00019722349947999383,0.0005859375
28,163,0.00019722349947999383,0.00078125
29,172,0.00019722349947999383,0.0008789062499999999
30,178,0.00019722349947999383,0.0009765625
31,184,0.00019722349947999383,0.0009765625
32,190,0.00019722349947999383,0.00107421875
33,195,0.00019722349947999383,0.00107421875
34,200,0.00019722349947999383,0.001171875
35,205,0.00019722349947999383,0.001171875
36,209,0.00019722349947999383,0.00126953125
37,214,0.0002256627844799938,0.00126953125
38,219,0.0002256627844799938,0.0013671875000000001
39,224,0.0002256627844799938,0.0013671875000000001
40,230,0.0002256627844799938,0.00146484375
41,238,0.0002256627844799938,0.0015625
42,242,0.0002256627844799938,0.0015625
43,247,0.0002256627844799938,0.0016601562500000002
44,252,0.0002256627844799938,0.0016601562500000002
45,257,0.0002256627844799938,0.0017578124999999998
46,262,0.0002256627844799938,0.00185546875
47,267,0.0002256627844799938,0.00185546875
48,273,0.0002256627844799938,0.001953125
49,279,0.0002256627844799938,0.00205078125
50,283,0.0002256627844799938,0.00205078125
51,288,0.0002256627844799938,0.0021484375
52,294,0.0002256627844799938,0.0022460937500000003
53,299,0.0002256627844799938,0.00234375
54,304,0.0002256627844799938,0.00234375
55,310,0.0001923201744799938,0.00244140625
56,314,0.0001923201744799938,0.0025390625
57,324,0.0001923201744799938,0.00263671875
58,332,0.0001923201744799938,0.00283203125
59,340,0.0001923201744799938,0.0029296875
60,345,0.0001923201744799938,0.00302734375
61,352,0.0001923201744799938,0.003125
62,358,0.0001923201744799938,0.0032226562500000003
63,362,0.0001923201744799938,0.0033203125000000003
64,367,0.0001923201744799938,0.0033203125000000003
65,371,0.0001923201744799938,0.00341796875
66,376,0.0001923201744799938,0.0035156249999999997
67,380,0.0001923201744799938,0.00361328125
68,384,0.0001923201744799938,0.00361328125
69,389,0.0001923201744799938,0.0037109375
70,393,0.0001923201744799938,0.0038085937500000003
71,397,0.0001923201744799938,0.00390625
72,401,7.071771447999383e-05,0.00400390625
73,406,7.071771447999383e-05,0.00400390625
74,411,7.071771447999383e-05,0.0041015625
75,415,7.071771447999383e-05,0.00419921875
76,420,7.071771447999383e-05,0.004296875
77,425,7.071771447999383e-05,0.00439453125
78,430,7.071771447999383e-05,0.0044921875000000005
79,435,7.071771447999383e-05,0.004589843749999999
80,440,7.071771447999383e-05,0.0046875
81,445,7.071771447999383e-05,0.00478515625
82,449,7.071771447999383e-05,0.0048828125
83,454,7.071771447999383e-05,0.00498046875
84,459,7.071771447999383e-05,0.005078125
85,464,7.071771447999383e-05,0.005175781250000001
86,469,7.071771447999383e-05,0.0052734375
87,473,7.071771447999383e-05,0.00537109375
88,477,7.071771447999383e-05,0.0054687500000000005
89,481,7.071771447999383e-05,0.005566406249999999
90,485,7.071771447999383e-05,0.0056640625
91,489,7.071771447999383e-05,0.0057617187499999995
92,494,7.071771447999383e-05,0.005859375
93,498,-1.9503465520006162e-05,0.00595703125
94,503,-1.9503465520006162e-05,0.0060546875
95,508,-1.9503465520006162e-05,0.00615234375
96,516,-1.9503465520006162e-05,0.00634765625
97,524,-1.9503465520006162e-05,0.00654296875
98,530,-1.9503465520006162e-05,0.006640625000000001
99,537,-1.9503465520006162e-05,0.0068359375
100,541,-1.9503465520006162e-05,0.00693359375
101,546,-1.9503465520006162e-05,0.007031249999999999
102,550,-1.9503465520006162e-05,0.00712890625
103,555,-1.9503465520006162e-05,0.00732421875
104,559,-1.9503465520006162e-05,0.007421875
105,564,-1.9503465520006162e-05,0.00751953125
106,568,-1.9503465520006162e-05,0.007617187500000001
107,573,-1.9503465520006162e-05,0.00771484375
108,578,-1.9503465520006162e-05,0.007910156250000001
109,583,-1.9503465520006162e-05,0.0080078125
110,588,-1.9503465520006162e-05,0.008105468749999999
111,593,-1.9503465520006162e-05,0.00830078125
112,597,-1.9503465520006162e-05,0.0083984375
113,602,-1.9503465520006162e-05,0.00849609375
114,606,-1.9503465520006162e-05,0.00859375
115,611,-1.9503465520006162e-05,0.0087890625
116,616,-1.9503465520006162e-05,0.00888671875
117,621,-1.9503465520006162e-05,0.00908203125
118,626,-1.9503465520006162e-05,0.009179687499999999
119,632,-1.9503465520006162e-05,0.009375
120,636,-1.9503465520006162e-05,0.00947265625
121,642,-1.9503465520006162e-05,0.0095703125
122,646,-1.9503465520006162e-05,0.009765625
123,651,-1.9503465520006162e-05,0.00986328125
