,Time,Force (Newtons),Distance (millimeters)
0,1,8.89835807699976e-05,9.765625e-05
1,6,8.89835807699976e-05,9.765625e-05
2,11,8.89835807699976e-05,9.765625e-05
3,16,8.89835807699976e-05,9.765625e-05
4,21,8.89835807699976e-05,9.765625e-05
5,26,8.89835807699976e-05,9.765625e-05
6,31,0.00011251954076999759,9.765625e-05
7,36,0.00011251954076999759,9.765625e-05
8,41,0.00011251954076999759,9.765625e-05
9,46,0.00011251954076999759,0.0001953125
10,51,0.00011251954076999759,0.0001953125
11,56,0.00011251954076999759,0.0001953125
12,61,0.00011251954076999759,0.0001953125
13,66,0.00011251954076999759,0.0001953125
14,71,0.00011251954076999759,0.00029296875
15,76,0.00011251954076999759,0.00029296875
16,81,0.00011251954076999759,0.00029296875
17,86,0.00011251954076999759,0.00029296875
18,92,0.00011251954076999759,0.000390625
19,96,0.00011251954076999759,0.000390625
20,101,0.00011251954076999759,0.000390625
21,106,0.00011251954076999759,0.000390625
22,111,0.00011251954076999759,0.00048828125
23,116,0.00011251954076999759,0.00048828125
24,121,0.00011251954076999759,0.00048828125
25,126,0.0001684174457699976,0.0005859375
26,132,0.0001684174457699976,0.0005859375
27,138,0.0001684174457699976,0.0005859375
28,143,0.0001684174457699976,0.0006835937500000001
29,147,0.0001684174457699976,0.0006835937500000001
30,153,0.0001684174457699976,0.00078125
31,157,0.0001684174457699976,0.00078125
32,163,0.0001684174457699976,0.00078125
33,173,0.0001684174457699976,0.0008789062499999999
34,181,0.0001684174457699976,0.0009765625
35,188,0.0001684174457699976,0.00107421875
36,194,0.0001684174457699976,0.00107421875
37,200,0.0001684174457699976,0.001171875
38,205,0.0001684174457699976,0.001171875
39,210,0.0001684174457699976,0.00126953125
40,215,0.0001684174457699976,0.00126953125
41,220,0.0001595914607699976,0.0013671875000000001
42,224,0.0001595914607699976,0.0013671875000000001
43,229,0.0001595914607699976,0.00146484375
44,234,0.0001595914607699976,0.00146484375
45,238,0.0001595914607699976,0.0015625
46,243,0.0001595914607699976,0.0015625
47,248,0.0001595914607699976,0.0016601562500000002
48,253,0.0001595914607699976,0.0017578124999999998
49,258,0.0001595914607699976,0.0017578124999999998
50,263,0.0001595914607699976,0.00185546875
51,268,0.0001595914607699976,0.001953125
52,273,0.0001595914607699976,0.001953125
53,278,0.0001595914607699976,0.00205078125
54,283,0.0001595914607699976,0.0021484375
55,289,0.0001595914607699976,0.0021484375
56,294,0.0001595914607699976,0.0022460937500000003
57,299,0.0001595914607699976,0.00234375
58,304,0.0001595914607699976,0.00244140625
59,310,0.0001595914607699976,0.00244140625
60,314,0.0001595914607699976,0.0025390625
61,319,0.0001595914607699976,0.00263671875
62,324,0.0001595914607699976,0.00263671875
63,329,0.0001595914607699976,0.0027343750000000003
64,335,0.0001595914607699976,0.00283203125
65,339,0.0001595914607699976,0.0029296875
66,344,0.0001595914607699976,0.00302734375
67,349,0.0001595914607699976,0.00302734375
68,354,0.0001595914607699976,0.003125
69,359,0.0001595914607699976,0.0032226562500000003
70,364,0.0001595914607699976,0.0033203125000000003
71,369,0.0001595914607699976,0.00341796875
72,374,0.0001595914607699976,0.0035156249999999997
73,379,0.0001595914607699976,0.00361328125
74,384,0.0001595914607699976,0.0037109375
75,394,0.0001595914607699976,0.0038085937500000003
76,403,0.0001595914607699976,0.00400390625
77,412,0.00017822409576999758,0.00419921875
78,419,0.00017822409576999758,0.004296875
79,425,0.00017822409576999758,0.00439453125
80,430,0.00017822409576999758,0.0044921875000000005
81,435,0.00017822409576999758,0.004589843749999999
82,440,0.00017822409576999758,0.0046875
83,445,0.00017822409576999758,0.00478515625
84,450,0.00017822409576999758,0.0048828125
85,455,0.00017822409576999758,0.00498046875
86,460,0.00017822409576999758,0.005078125
87,465,0.00017822409576999758,0.0052734375
88,470,0.00017822409576999758,0.00537109375
89,474,0.00017822409576999758,0.0054687500000000005
90,479,0.00017822409576999758,0.005566406249999999
91,484,0.00017822409576999758,0.0056640625
92,489,0.00017822409576999758,0.0057617187499999995
93,494,0.00017822409576999758,0.005859375
94,499,0.00017822409576999758,0.00595703125
95,504,0.0001546881357699976,0.0060546875
96,509,0.0001546881357699976,0.00625
97,514,0.0001546881357699976,0.00634765625
98,519,0.0001546881357699976,0.0064453125000000005
99,524,0.0001546881357699976,0.00654296875
100,529,0.0001546881357699976,0.006640625000000001
101,533,0.0001546881357699976,0.0067382812499999995
102,538,0.0001546881357699976,0.00693359375
103,543,0.0001546881357699976,0.007031249999999999
104,548,0.0001546881357699976,0.00712890625
105,553,0.0001546881357699976,0.0072265625
106,558,0.0001546881357699976,0.007421875
107,563,0.0001546881357699976,0.00751953125
108,568,0.0001546881357699976,0.007617187500000001
109,574,0.0001546881357699976,0.0078125
110,578,0.0001546881357699976,0.007910156250000001
111,584,0.0001546881357699976,0.0080078125
112,591,0.0001546881357699976,0.008203125
113,600,0.0001448814857699976,0.00849609375
114,609,0.0001448814857699976,0.00869140625
115,617,0.0001448814857699976,0.00888671875
116,621,0.0001448814857699976,0.00908203125
117,629,0.0001448814857699976,0.00927734375
118,635,0.0001448814857699976,0.00947265625
119,640,0.0001448814857699976,0.0095703125
120,645,0.0001448814857699976,0.009765625
121,650,0.0001448814857699976,0.00986328125
122,655,0.0001448814857699976,0.01005859375
123,659,0.0001448814857699976,0.01015625
124,664,0.0001448814857699976,0.01025390625
125,668,0.0001448814857699976,0.010449218750000001
126,673,0.0001448814857699976,0.010546875
127,678,0.0001448814857699976,0.0107421875
128,683,0.0001448814857699976,0.010839843750000001
