File_Name,Angle,Length,Theta_C,Uncertainty,Theta_Left,Theta_Right,Theta_E,Radius,Cricle_StDev,Ellipse_StDev,e,Points,Volume
1,5uL,180,447,106.400000000,0.300000000,110.300000000,112,111.200000000,233.070000000,0.938848291,0.001760850,0.930000000,103,37478412.320000000
1,10uL,179.690296100,555.008108049,106,0.300000000,113.200000000,111.400000000,112.300000000,288.700000000,1.332298478,0.006912135,0.900000000,103,70686395.240000000
1,15uL,-178.939088310,648.111101587,103.400000000,0.400000000,111.300000000,109.600000000,110.400000000,333.130000000,1.651462316,0.004885466,0.890000000,103,103797277
1,20uL,180,789,97.400000000,0.500000000,108.600000000,107.200000000,107.900000000,397.880000000,2.540285161,0.003507371,0.840000000,103,157142693.140000000
1,25uL,-179.781314881,786.005725170,102.400000000,0.600000000,114.200000000,111.800000000,113,402.560000000,3.198526732,0.003355599,0.840000000,103,179997298.890000000
1,30uL,179.716359844,808.009900929,106,0.400000000,113.400000000,112.900000000,113.200000000,419.820000000,2.242769761,0.001828732,0.890000000,103,217303532.200000000
1,35uL,179.823705850,975.004615374,93.500000000,0.400000000,103.200000000,101.700000000,102.400000000,488.520000000,2.509456859,0.003371405,0.850000000,103,266266452.710000000
